"year","lake","DOY","Manual_Chl"
2025,"R",146,3.85395532879689
2025,"R",147,3.53022913737494
2025,"R",148,2.67226644684422
2025,"R",149,3.50834551011744
2025,"R",150,3.9200728755469
2025,"R",151,2.96591190137553
2025,"R",152,3.30055073986513
2025,"R",153,3.29496207850186
2025,"R",154,4.01887786617021
2025,"R",155,3.24639409509497
2025,"R",156,2.6131227554486
2025,"R",157,3.86124087456537
2025,"R",158,2.81730696663042
2025,"R",159,2.85980482275506
2025,"R",160,4.51181538541188
2025,"R",161,4.9148990010338
2025,"R",162,4.42931842033702
2025,"R",163,3.57142102807741
2025,"R",164,4.36691503924766
2025,"R",165,5.99447792920146
2025,"R",166,5.50559064405574
2025,"R",167,4.05562599186284
2025,"R",168,5.14101646615916
2025,"R",169,4.1984611713728
2025,"R",170,3.78650395602904
2025,"R",171,3.3516505549038
2025,"R",172,3.25644306369676
2025,"R",173,4.69581894824671
2025,"R",174,4.21464121230987
2025,"R",175,9.95453163018268
2025,"R",176,4.98941390544836
2025,"R",177,6.72492876784235
2025,"R",178,6.6983706550171
2025,"R",179,4.22913916978319
2025,"R",180,5.01860745649555
2025,"R",181,6.26516102903656
2025,"R",182,5.12857671019118
2025,"R",183,4.86975700025107
2025,"R",184,3.88244278787249
2025,"R",185,5.70292898449455
2025,"R",186,4.77968021186594
2025,"R",187,6.34619792476944
2025,"R",188,5.026492005071
2025,"R",189,4.32119928432279
2025,"R",190,4.66537254103786
2025,"R",191,5.780029700445
2025,"R",192,3.74187911755349
2025,"R",193,5.06819322228811
2025,"R",194,3.9112367135005
2025,"R",195,4.27027533929431
2025,"R",196,4.24919444544965
2025,"R",197,7.08840245220985
2025,"R",198,5.10318525980974
2025,"R",199,6.628289067889
2025,"R",200,5.85270928811961
2025,"R",201,4.06477384432333
2025,"R",202,5.4491668433127
2025,"R",203,4.04476993663015
2025,"R",204,7.03139009638322
2025,"R",205,7.150770136911
2025,"R",206,3.51312534356259
2025,"R",207,4.94577115297029
2025,"R",208,3.37056789936574
2025,"R",209,3.92956376159162
2025,"R",210,4.73426482898817
2025,"R",211,4.39796654376879
2025,"R",212,5.23297906861391
2025,"R",213,3.78058619137938
2025,"R",214,3.83837690259763
